Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,40,7082,2,798,8487,2,7600,499,160,33,38,5
0,66,7199,2,1495,3790,0,4921,921,132,26,0,4
0,88,6807,1,67,5424,1,2285,60,139,16,9,5
0,346,6886,0,81,4526,1,2612,78,211,14,7,6
0,165,6967,0,51,4760,1,4603,42,148,11,6,6
0,201,6830,-2,212,7579,23,1465,203,139,22,281,7
0,39,5933,-1,576,7862,3,2312,419,175,20,33,6
0,55,5731,2,496,7263,0,1918,379,160,19,0,4
0,306,6671,0,102,6333,0,1227,67,185,2,0,7
0,17,6843,-1,731,8752,2,4783,693,198,31,36,5
0,150,7126,-4,451,8787,18,1855,215,64,31,326,7
0,288,6411,1,181,6725,0,2308,143,194,5,0,6
0,263,6455,-1,691,8143,2,2894,527,211,27,30,5
0,192,5846,1,712,7881,13,2190,479,124,24,174,7
0,287,7048,-1,339,7827,18,7180,302,219,17,169,8
0,31,5864,-1,671,8017,4,2180,297,182,23,51,6
0,351,6063,0,123,7720,1,897,85,206,12,6,6
